timestamp,text,likes
2025-01-02,Concerned about competition from custom AI chips,447
2025-01-02,Concerned about competition from custom AI chips,45
2025-01-02,$NVDA to the moon! AI demand is skyrocketing,75
2025-01-02,$NVDA to the moon! AI demand is skyrocketing,258
2025-01-02,Concerned about competition from custom AI chips,369
2025-01-02,$NVDA is looking overvalued,339
2025-01-02,$NVDA to the moon! AI demand is skyrocketing,405
2025-01-02,"Incredible earnings, Blackwell is a game changer",328
2025-01-03,$NVDA to the moon! AI demand is skyrocketing,261
2025-01-03,"Incredible earnings, Blackwell is a game changer",256
2025-01-03,Concerned about competition from custom AI chips,212
2025-01-03,$NVDA to the moon! AI demand is skyrocketing,371
2025-01-03,"Incredible earnings, Blackwell is a game changer",244
2025-01-03,"Incredible earnings, Blackwell is a game changer",366
2025-01-03,$NVDA to the moon! AI demand is skyrocketing,74
2025-01-03,"Incredible earnings, Blackwell is a game changer",296
2025-01-03,$NVDA is looking overvalued,409
2025-01-03,"Incredible earnings, Blackwell is a game changer",451
2025-01-03,$NVDA to the moon! AI demand is skyrocketing,276
2025-01-06,Concerned about competition from custom AI chips,419
2025-01-06,"Incredible earnings, Blackwell is a game changer",346
2025-01-06,$NVDA to the moon! AI demand is skyrocketing,230
2025-01-06,Concerned about competition from custom AI chips,340
2025-01-06,"Incredible earnings, Blackwell is a game changer",318
2025-01-06,$NVDA to the moon! AI demand is skyrocketing,53
2025-01-06,$NVDA is looking overvalued,145
2025-01-06,$NVDA is looking overvalued,462
2025-01-06,$NVDA is looking overvalued,53
2025-01-06,$NVDA to the moon! AI demand is skyrocketing,78
2025-01-06,"Incredible earnings, Blackwell is a game changer",119
2025-01-06,"Incredible earnings, Blackwell is a game changer",333
2025-01-07,"Incredible earnings, Blackwell is a game changer",422
2025-01-07,$NVDA is looking overvalued,342
2025-01-07,$NVDA is looking overvalued,325
2025-01-07,$NVDA to the moon! AI demand is skyrocketing,309
2025-01-07,$NVDA to the moon! AI demand is skyrocketing,38
2025-01-07,"Incredible earnings, Blackwell is a game changer",84
2025-01-07,"Incredible earnings, Blackwell is a game changer",202
2025-01-07,$NVDA to the moon! AI demand is skyrocketing,388
2025-01-07,Concerned about competition from custom AI chips,91
2025-01-07,$NVDA is looking overvalued,183
2025-01-08,Concerned about competition from custom AI chips,321
2025-01-08,$NVDA is looking overvalued,110
2025-01-08,"Incredible earnings, Blackwell is a game changer",33
2025-01-08,$NVDA to the moon! AI demand is skyrocketing,304
2025-01-08,$NVDA to the moon! AI demand is skyrocketing,390
2025-01-08,$NVDA to the moon! AI demand is skyrocketing,274
2025-01-10,"Incredible earnings, Blackwell is a game changer",312
2025-01-10,"Incredible earnings, Blackwell is a game changer",263
2025-01-10,"Incredible earnings, Blackwell is a game changer",164
2025-01-10,$NVDA is looking overvalued,304
2025-01-10,Concerned about competition from custom AI chips,420
2025-01-10,"Incredible earnings, Blackwell is a game changer",174
2025-01-10,$NVDA is looking overvalued,276
2025-01-10,$NVDA to the moon! AI demand is skyrocketing,99
2025-01-10,$NVDA to the moon! AI demand is skyrocketing,115
2025-01-10,"Incredible earnings, Blackwell is a game changer",410
2025-01-13,$NVDA to the moon! AI demand is skyrocketing,344
2025-01-13,"Incredible earnings, Blackwell is a game changer",39
2025-01-13,Concerned about competition from custom AI chips,448
2025-01-13,$NVDA to the moon! AI demand is skyrocketing,480
2025-01-13,"Incredible earnings, Blackwell is a game changer",204
2025-01-13,$NVDA to the moon! AI demand is skyrocketing,306
2025-01-14,Concerned about competition from custom AI chips,242
2025-01-14,$NVDA to the moon! AI demand is skyrocketing,408
2025-01-14,Concerned about competition from custom AI chips,388
2025-01-14,"Incredible earnings, Blackwell is a game changer",453
2025-01-14,Concerned about competition from custom AI chips,279
2025-01-14,$NVDA is looking overvalued,92
2025-01-14,"Incredible earnings, Blackwell is a game changer",312
2025-01-14,"Incredible earnings, Blackwell is a game changer",55
2025-01-14,"Incredible earnings, Blackwell is a game changer",477
2025-01-15,$NVDA is looking overvalued,476
2025-01-15,"Incredible earnings, Blackwell is a game changer",156
